,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
3932,556,652,837,1189,1275,Hopkins County,35930,TX
3933,563,578,761,941,1032,Houston County,22850,TX
3934,675,851,1006,1244,1587,Howard County,36490,TX
3935,503,631,757,936,1296,Hudspeth County,3700,TX
3936,1076,1150,1362,1736,2280,Hunt County,90320,TX
3937,637,654,861,1095,1267,Hutchinson County,21705,TX
3938,659,790,992,1314,1629,Irion County,1590,TX
3939,560,600,757,1075,1296,Jack County,8840,TX
3940,635,753,858,1219,1253,Jackson County,14755,TX
3941,655,660,868,1173,1177,Jasper County,35445,TX
3942,608,652,822,1084,1200,Jeff Davis County,2235,TX
3943,747,798,982,1281,1332,Jefferson County,254575,TX
3944,560,600,757,1075,1105,Jim Hogg County,5260,TX
3945,675,693,912,1127,1281,Jim Wells County,41320,TX
3946,939,1064,1269,1685,2098,Johnson County,160175,TX
3947,637,674,870,1186,1476,Jones County,19970,TX
3948,559,633,799,1084,1167,Karnes County,15050,TX
3949,1076,1150,1362,1736,2280,Kaufman County,114850,TX
3950,902,1087,1358,1679,2130,Kendall County,40305,TX
3951,608,652,822,1084,1200,Kenedy County,565,TX
3952,608,652,822,1084,1200,Kent County,680,TX
3953,670,766,906,1253,1338,Kerr County,50760,TX
3954,586,676,792,979,1156,Kimble County,4430,TX
3955,608,652,822,1084,1200,King County,290,TX
3956,644,690,871,1077,1272,Kinney County,3630,TX
3957,656,743,977,1249,1427,Kleberg County,31540,TX
3958,560,600,757,936,1105,Knox County,3755,TX
3959,555,621,801,1081,1371,Lamar County,49400,TX
3960,560,575,757,969,1027,Lamb County,13370,TX
3961,601,605,796,1083,1087,Lampasas County,20475,TX
3962,560,664,757,1075,1105,La Salle County,7420,TX
3963,616,642,833,1080,1216,Lavaca County,19860,TX
3964,729,828,985,1218,1438,Lee County,16850,TX
3965,576,591,778,1003,1055,Leon County,16965,TX
3966,944,1014,1208,1603,2058,Liberty County,79885,TX
3967,545,623,820,1014,1138,Limestone County,23480,TX
3968,593,636,802,1003,1171,Lipscomb County,3495,TX
3969,578,594,781,1109,1140,Live Oak County,12045,TX
3970,718,737,970,1199,1449,Llano County,20195,TX
3971,608,652,822,1084,1200,Loving County,75,TX
