,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,acs_2019_2,State,fmr_type,fmr_pct_chg,fmr_dollar_chg
115,2020,459,503,630,909,969,Boone County,37210,651,AR,40,-0.032258,-21
116,2020,459,520,630,801,1074,Bradley County,10995,662,AR,40,-0.048338,-32
117,2020,493,531,677,844,976,Calhoun County,5195,675,AR,40,0.00296296,2
118,2020,485,507,638,795,876,Carroll County,27780,660,AR,40,-0.033333,-22
119,2020,459,553,630,849,960,Chicot County,11010,650,AR,40,-0.030769,-20
120,2020,434,518,630,829,988,Clark County,22495,651,AR,40,-0.032258,-21
121,2020,459,478,630,807,1106,Clay County,15190,650,AR,40,-0.030769,-20
122,2020,495,516,680,877,949,Cleburne County,25360,700,AR,40,-0.028571,-20
123,2020,519,541,713,891,1104,Cleveland County,8330,716,AR,40,-0.0041899,-3
124,2020,499,504,630,848,992,Columbia County,23990,650,AR,40,-0.030769,-20
125,2020,436,478,630,820,932,Conway County,20955,675,AR,40,-0.066666667,-45
126,2020,517,628,793,1088,1249,Craighead County,104245,756,AR,40,0.0489418,37
127,2020,498,521,686,950,1121,Crawford County,62120,700,AR,40,-0.02,-14
128,2020,665,755,884,1203,1374,Crittenden County,49280,875,AR,40,0.0102857,9
129,2020,499,520,685,866,1019,Cross County,17165,710,AR,40,-0.035211,-25
130,2020,459,478,630,878,882,Dallas County,7585,650,AR,40,-0.030769,-20
131,2020,459,478,630,853,908,Desha County,12095,650,AR,40,-0.030769,-20
132,2020,459,478,630,841,872,Drew County,18620,650,AR,40,-0.030769,-20
133,2020,640,688,804,1082,1267,Faulkner County,121280,831,AR,40,-0.032491,-27
134,2020,459,553,630,786,908,Franklin County,17805,652,AR,40,-0.033742,-22
135,2020,459,478,630,887,978,Fulton County,12090,650,AR,40,-0.030769,-20
136,2020,554,586,772,971,1202,Garland County,97995,776,AR,40,-0.0051546,-4
137,2020,566,608,709,884,1006,Grant County,18075,697,AR,40,0.0172166,12
138,2020,505,608,693,976,1147,Greene County,44195,697,AR,40,-0.0057389,-4
139,2020,468,488,643,801,902,Hempstead County,22155,652,AR,40,-0.013804,-9
140,2020,461,520,633,831,1044,Hot Spring County,33480,662,AR,40,-0.043807,-29
141,2020,464,500,630,802,908,Howard County,13470,650,AR,40,-0.030769,-20
142,2020,485,501,660,822,894,Independence County,37095,650,AR,40,0.0153846,10
143,2020,433,478,630,811,853,Izard County,13520,650,AR,40,-0.030769,-20
144,2020,453,478,630,785,948,Jackson County,17430,650,AR,40,-0.030769,-20
145,2020,519,541,713,891,1104,Jefferson County,71375,716,AR,40,-0.0041899,-3
146,2020,454,487,642,817,963,Johnson County,26155,671,AR,40,-0.043219,-29
147,2020,459,516,630,835,972,Lafayette County,7050,650,AR,40,-0.030769,-20
148,2020,459,485,630,836,993,Lawrence County,16775,650,AR,40,-0.030769,-20
149,2020,459,482,630,909,1028,Lee County,9615,650,AR,40,-0.030769,-20
150,2020,519,541,713,891,1104,Lincoln County,13885,716,AR,40,-0.0041899,-3
151,2020,475,478,630,892,1106,Little River County,12495,650,AR,40,-0.030769,-20
152,2020,459,525,630,791,853,Logan County,21800,650,AR,40,-0.030769,-20
153,2020,640,688,804,1082,1267,Lonoke County,71570,831,AR,40,-0.032491,-27
154,2020,584,630,807,1149,1417,Madison County,15905,758,AR,40,0.064643799,49
155,2020,422,503,630,785,1074,Marion County,16375,650,AR,40,-0.030769,-20
156,2020,611,624,792,996,1286,Miller County,43760,798,AR,40,-0.0075188,-6
157,2020,420,490,645,811,874,Mississippi County,43535,687,AR,40,-0.061135,-42
158,2020,459,505,630,843,1026,Monroe County,7420,650,AR,40,-0.030769,-20
159,2020,491,494,630,854,1106,Montgomery County,9060,650,AR,40,-0.030769,-20
160,2020,533,556,732,912,1056,Nevada County,8530,749,AR,40,-0.022697,-17
161,2020,459,478,630,905,908,Newton County,7900,650,AR,40,-0.030769,-20
162,2020,538,541,630,850,853,Ouachita County,24380,650,AR,40,-0.030769,-20
163,2020,640,688,804,1082,1267,Perry County,10320,831,AR,40,-0.032491,-27
