,State,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Population,acs_2019_2,fmr_type,fmr_pct_chg,fmr_dollar_chg,acs_2017_2
52,WA,2020,744.82,845.33,1068.87,1501.9,1741.87,183845.77,1000.1,40.0,0.07,68.77,
53,WI,2020,554.17,623.74,800.32,1057.44,1179.97,80044.65,774.18,40.0,0.03,26.14,
54,WV,2020,560.33,597.09,726.15,958.71,1115.98,33397.0,687.62,40.0,0.06,38.53,
55,WY,2020,621.39,678.83,845.61,1138.26,1422.96,25356.52,825.35,40.0,0.02,20.26,
0,AK,2019,863.97,977.31,1221.38,1623.93,1866.03,24490.72,,,,,
1,AL,2019,530.3,569.61,697.54,925.31,1068.13,71339.34,,,,,
2,AR,2019,500.84,539.21,686.47,908.01,1051.0,38878.91,,,,,
3,AS,2019,543.0,547.0,723.0,1045.0,1109.0,55519.0,,,,,
4,AZ,2019,637.33,688.13,878.4,1217.8,1377.2,426134.47,,,,,
5,CA,2019,930.43,1069.34,1360.62,1897.0,2199.38,642309.59,,,,,
6,CO,2019,743.69,805.81,1013.36,1386.0,1593.78,78581.19,,,,,
7,CT,2019,836.39,999.12,1251.17,1599.62,1831.41,21148.5,,,,,
8,DC,2019,1415.0,1454.0,1665.0,2176.0,2678.0,601723.0,,,,,
9,DE,2019,800.0,893.0,1095.67,1503.0,1742.0,299311.33,,,,,
10,FL,2019,705.43,773.49,946.82,1275.43,1507.9,280616.57,,,,,
11,GA,2019,618.59,644.97,779.63,1040.0,1231.03,60928.64,,,,,
12,GU,2019,728.0,795.0,1051.0,1520.0,1846.0,159358.0,,,,,
13,HI,2019,1122.2,1292.2,1658.8,2310.2,2771.6,272060.2,,,,,
14,IA,2019,503.86,556.06,714.79,951.4,1053.41,30771.26,,,,,
15,ID,2019,526.0,581.91,751.18,1035.2,1223.09,35626.86,,,,,
16,IL,2019,551.31,622.22,787.48,1033.27,1169.0,125790.51,,,,,
17,IN,2019,533.49,604.18,763.93,1006.38,1133.29,70476.11,,,,,
18,KS,2019,512.82,560.44,717.98,949.57,1076.49,27172.55,,,,,
19,KY,2019,491.96,545.7,688.52,918.03,1042.32,36161.39,,,,,
20,LA,2019,582.62,642.28,780.09,1024.73,1184.19,70833.94,,,,,
21,MA,2019,1098.35,1221.23,1518.93,1916.35,2099.7,18654.21,,,,,
22,MD,2019,896.92,1016.88,1237.46,1623.88,1943.58,240564.67,,,,,
23,ME,2019,679.97,719.93,887.16,1162.01,1304.41,2492.22,,,,,
24,MI,2019,542.24,607.53,767.99,1016.82,1129.69,119080.0,,,,,
25,MN,2019,538.43,629.18,803.3,1088.14,1234.49,60964.66,,,,,
26,MO,2019,479.94,550.4,707.89,945.34,1079.87,51641.39,,,,,
27,MP,2019,457.0,538.0,712.0,1028.0,1238.0,53883.0,,,,,
28,MS,2019,506.28,559.39,692.0,905.04,1019.74,36186.55,,,,,
29,MT,2019,520.57,589.52,749.11,1005.38,1213.23,17668.12,,,,,
30,NC,2019,617.04,638.19,784.3,1050.8,1260.67,95354.83,,,,,
31,ND,2019,605.42,624.64,779.21,1066.77,1223.77,12690.4,,,,,
32,NE,2019,488.27,578.73,738.09,967.71,1080.81,19638.08,,,,,
33,NH,2019,771.17,865.12,1096.97,1440.34,1692.68,5082.9,,,,,
34,NJ,2019,988.62,1158.76,1432.05,1837.19,2125.1,418661.62,,,,,
35,NM,2019,598.0,651.27,806.7,1108.15,1299.18,62399.36,,,,,
36,NV,2019,575.35,695.53,883.29,1231.12,1421.94,158855.94,,,,,
37,NY,2019,776.53,856.9,1044.02,1339.84,1478.71,312550.03,,,,,
38,OH,2019,523.48,588.88,746.15,979.59,1092.36,131096.64,,,,,
39,OK,2019,520.55,577.92,732.51,975.03,1116.94,48718.84,,,,,
40,OR,2019,650.14,748.69,935.36,1330.08,1563.83,106418.72,,,,,
41,PA,2019,613.13,682.85,851.64,1101.63,1215.37,189587.75,,,,,
42,PR,2019,384.03,403.41,476.33,639.65,772.31,47766.53,,,,,
43,RI,2019,802.15,903.38,1093.38,1403.08,1642.0,26988.9,,,,,
44,SC,2019,605.74,665.96,805.8,1070.5,1252.46,100551.39,,,,,
45,SD,2019,492.86,575.02,734.65,983.42,1099.73,12336.06,,,,,
46,TN,2019,530.35,586.64,729.19,967.27,1122.69,66801.11,,,,,
47,TX,2019,601.07,659.93,822.41,1098.48,1299.08,98998.27,,,,,
48,UT,2019,553.31,655.21,815.24,1118.59,1326.52,95306.38,,,,,
49,VA,2019,739.82,811.05,975.04,1301.04,1554.68,59709.13,,,,,
50,VI,2019,852.33,972.0,1205.33,1510.0,1629.33,36204.0,,,,,
51,VT,2019,748.55,828.99,1023.58,1325.33,1466.02,2453.89,,,,,
52,WA,2019,688.62,787.77,1000.1,1402.72,1619.26,172424.1,,,,,
53,WI,2019,533.47,601.43,774.18,1025.92,1146.9,78985.92,,,,,
54,WV,2019,529.6,563.91,687.62,909.11,1051.27,33690.8,,,,,
55,WY,2019,591.7,650.91,825.35,1109.83,1375.43,24505.48,,,,,
0,AK,2018,842.86,948.86,1183.59,1575.9,1848.17,24490.72,,40.0,-0.01,-17.14,1200.72
1,AL,2018,519.12,554.07,682.06,911.72,1050.61,71339.34,,40.0,-0.01,-10.15,692.21
2,AR,2018,489.85,522.07,667.11,888.47,1016.33,38878.91,,40.0,0.03,16.6,650.51
3,AS,2018,514.0,517.0,688.0,1001.0,1055.0,55519.0,,40.0,0.02,11.0,677.0
4,AZ,2018,604.93,654.27,834.13,1156.27,1320.53,426134.47,,40.0,0.03,26.13,808.0
5,CA,2018,884.02,1017.28,1297.78,1812.53,2111.34,642309.59,,40.17,0.04,55.79,1241.98
6,CO,2018,709.91,774.91,981.73,1354.08,1545.09,78581.19,,40.0,0.08,77.08,904.66
7,CT,2018,832.51,984.8,1230.75,1572.28,1800.18,21148.5,,40.0,0.02,21.74,1209.01
8,DC,2018,1504.0,1561.0,1793.0,2353.0,2902.0,601723.0,,50.0,0.03,47.0,1746.0
9,DE,2018,750.0,849.0,1033.0,1418.33,1634.0,299311.33,,43.33,-0.02,-21.33,1054.33
10,FL,2018,664.84,735.79,903.15,1218.18,1431.61,280616.57,,40.15,0.03,27.06,876.09
11,GA,2018,598.85,625.18,762.35,1021.45,1213.14,60928.64,,40.0,0.06,40.33,722.02
12,GU,2018,692.0,751.0,999.0,1453.0,1760.0,159358.0,,40.0,0.02,16.0,983.0
13,HI,2018,1088.6,1268.6,1621.2,2269.2,2717.0,272060.2,,40.0,0.3,228.2,1393.0
14,IA,2018,487.68,542.02,697.64,927.16,1026.14,30771.26,,40.0,0.03,17.73,679.91
15,ID,2018,533.25,579.64,747.55,1031.5,1242.34,35626.86,,40.0,0.03,24.02,723.52
16,IL,2018,528.36,603.66,766.93,1006.54,1140.61,125790.51,,40.0,0.02,15.25,751.68
17,IN,2018,528.85,599.38,759.79,1001.61,1127.15,70476.11,,40.0,0.04,27.15,732.64
18,KS,2018,522.48,574.07,736.53,974.95,1106.79,27172.55,,40.0,0.02,14.99,721.54
19,KY,2018,484.31,539.38,680.42,909.77,1033.37,36161.39,,40.0,0.01,9.7,670.72
20,LA,2018,579.27,640.31,783.17,1028.52,1191.17,70833.94,,40.0,0.07,44.84,738.33
21,MA,2018,973.23,1086.42,1352.08,1706.95,1893.04,18654.21,,40.0,0.08,91.77,1260.31
22,MD,2018,925.17,1044.21,1272.83,1663.83,2005.42,240564.67,,45.42,0.02,24.33,1248.5
23,ME,2018,633.31,675.95,825.14,1083.21,1214.31,2492.22,,40.0,0.04,30.93,794.21
24,MI,2018,533.6,600.07,762.76,1013.55,1131.07,119080.0,,40.0,0.03,23.93,738.83
25,MN,2018,517.87,612.74,785.92,1057.78,1206.51,60964.66,,40.0,0.02,17.4,768.52
26,MO,2018,470.35,539.34,695.27,931.09,1058.66,51641.39,,40.0,-0.0,-2.52,697.78
27,MP,2018,432.0,509.0,677.0,977.0,1177.0,53883.0,,40.0,0.02,11.0,666.0
28,MS,2018,503.3,567.18,701.35,924.43,1032.85,36186.55,,40.0,-0.03,-21.76,723.11
29,MT,2018,533.95,604.48,757.71,1024.41,1240.05,17668.12,,40.0,0.06,43.61,714.11
30,NC,2018,602.89,627.72,773.1,1037.96,1239.17,95354.83,,40.0,0.04,30.75,742.35
31,ND,2018,592.0,609.04,764.49,1063.38,1187.62,12690.4,,40.0,-0.01,-16.74,781.23
32,NE,2018,446.84,530.91,682.35,895.29,993.4,19638.08,,40.0,0.01,8.7,673.66
33,NH,2018,758.43,842.24,1063.96,1391.87,1621.47,5082.9,,40.0,0.04,34.61,1029.35
34,NJ,2018,967.81,1129.33,1393.81,1794.71,2079.29,418661.62,,42.86,0.02,31.24,1362.57
35,NM,2018,557.76,610.33,761.58,1047.91,1224.42,62399.36,,40.0,0.03,22.52,739.06
36,NV,2018,567.82,685.24,877.29,1232.12,1432.47,158855.94,,40.0,0.08,62.88,814.41
37,NY,2018,753.37,835.61,1017.69,1308.11,1451.84,312550.03,,40.0,0.02,23.32,994.37
38,OH,2018,515.7,582.91,742.15,979.78,1093.62,131096.64,,40.0,0.01,8.66,733.49
39,OK,2018,514.77,579.56,736.29,981.66,1124.26,48718.84,,40.0,0.04,26.47,709.82
40,OR,2018,617.33,709.58,890.61,1268.72,1496.86,106418.72,,40.0,0.07,60.75,829.86
41,PA,2018,611.57,683.34,851.24,1100.76,1212.97,189587.75,,40.75,0.03,24.15,827.09
42,PR,2018,365.29,383.55,455.95,610.64,735.51,47766.53,,40.0,-0.06,-26.17,482.12
43,RI,2018,762.31,864.08,1047.54,1342.15,1591.62,26988.9,,40.0,0.02,25.54,1022.0
44,SC,2018,566.5,633.09,771.3,1024.13,1191.63,100551.39,,40.0,0.01,8.52,762.78
45,SD,2018,464.97,540.97,692.18,928.27,1017.33,12336.06,,40.0,0.02,13.74,678.44
46,TN,2018,509.09,565.45,706.95,940.6,1088.22,66801.11,,40.0,0.02,14.73,692.22
47,TX,2018,584.67,641.19,803.2,1076.75,1275.26,98998.27,,40.0,0.02,11.96,791.24
48,UT,2018,550.21,653.31,819.45,1138.72,1316.34,95306.38,,40.0,0.06,47.41,772.03
49,VA,2018,752.04,810.25,973.49,1300.15,1560.65,59709.13,,41.04,0.04,32.24,941.25
50,VI,2018,805.0,918.67,1138.67,1427.33,1551.0,36204.0,,40.0,0.01,7.33,1131.33
51,VT,2018,762.69,837.36,1038.4,1347.68,1520.77,2453.89,,40.0,0.01,12.47,1025.94
52,WA,2018,641.23,736.08,939.67,1319.59,1527.54,172424.1,,40.26,0.04,45.85,893.82
53,WI,2018,520.17,586.89,758.36,1005.67,1123.51,78985.92,,40.0,0.02,14.64,743.72
54,WV,2018,527.95,570.36,693.02,918.22,1058.95,33690.8,,40.0,-0.05,-33.33,726.35
55,WY,2018,577.57,638.48,813.74,1096.74,1328.7,24505.48,,40.0,0.06,45.74,768.0
